Restaurant ID;Restaurant Name;Country Code;City;Address;Locality;Locality Verbose;Longitude;Latitude;Cuisines;Average Cost for two;Currency;Has Table booking;Has Online delivery;Is delivering now;Switch to order menu;Price range;Aggregate rating;Rating color;Rating text;Votes;
102439;Muhammadi Palace;1;Jaipur;1307, Opposite Metro Station, Chandpole Gate, Sindhi Camp, Jaipur;Sindhi Camp;Sindhi Camp, Jaipur;758.087.680.489;269.271.347.429;North Indian, Mughlai;450;Indian Rupees(Rs.);0;1;1;0;1;3.9;9ACD32;Good;2457;
100910;Rawat Mishthan Bhandar;1;Jaipur;Opposite Polovictory Cinema, Station Road, Sindhi Camp, Jaipur;Sindhi Camp;Sindhi Camp, Jaipur;757.967.913.151;269.213.632.204;Mithai, North Indian, South Indian, Chinese;750;Indian Rupees(Rs.);0;1;1;0;2;4.1;5BA829;Very Good;2184;
18733012;Fat Lulu's;1;Jaipur;A-5, Ground Floor 1-1, Suryavanshi Pearl, Chomu House, Sardar Patal Marg, C Scheme, Jaipur;Suryavanshi Pearl, C Scheme;Suryavanshi Pearl, C Scheme, Jaipur;757.954.475.284;269.109.087.400;Continental, Pizza, Burger, American;1300;Indian Rupees(Rs.);1;1;1;0;3;4.3;5BA829;Very Good;669;
18733012;Fat Lulu's;1;Jaipur;A-5, Ground Floor 1-1, Suryavanshi Pearl, Chomu House, Sardar Patal Marg, C Scheme, Jaipur;Suryavanshi Pearl, C Scheme;Suryavanshi Pearl, C Scheme, Jaipur;757.954.475.284;269.109.087.400;Continental, Pizza, Burger, American;1300;Indian Rupees(Rs.);1;1;1;0;3;4.3;5BA829;Very Good;669;
100306;Skyfall By Replay;1;Jaipur;SB 57, 5th Floor, Ridhi Tower, Opposite SMS Stadium, Tonk Road, Jaipur;Tonk Road;Tonk Road, Jaipur;758.068.837.971;268.923.017.348;North Indian, Chinese, Italian;1500;Indian Rupees(Rs.);0;0;0;0;3;4.7;3F7E00;Excellent;3292;
18459887;Bikanervala;1;Jaipur;Shop 5-8, Ground Floor & Shop F4 - F8, First Floor, Jaipur Centre Mall, Ashram Marg, Tonk Road, Jaipur;Tonk Road;Tonk Road, Jaipur;757.941.966.131;268.395.102.013;Mithai, North Indian, Rajasthani;500;Indian Rupees(Rs.);0;1;1;0;2;3.8;9ACD32;Good;610;
18247046;Vitthal's Kitchen;1;Jaipur;29-A, Opposite Laxmi Mandir Cinema, Tonk Road, Jaipur;Tonk Road;Tonk Road, Jaipur;757.980.211.079;268.810.443.123;North Indian, Chinese, South Indian;300;Indian Rupees(Rs.);0;1;1;0;1;3.9;9ACD32;Good;906;
18247046;Vitthal's Kitchen;1;Jaipur;29-A, Opposite Laxmi Mandir Cinema, Tonk Road, Jaipur;Tonk Road;Tonk Road, Jaipur;757.980.211.079;268.810.443.123;North Indian, Chinese, South Indian;300;Indian Rupees(Rs.);0;1;1;0;1;3.9;9ACD32;Good;906;
18557371;Asteria;1;Jaipur;7th Floor, Jaipur Centre, B2 Bypass, Tonk Road, Jaipur;Tonk Road;Tonk Road, Jaipur;757.947.300.375;268.393.914.353;North Indian, Continental, Italian, Mexican, Chinese;1500;Indian Rupees(Rs.);0;0;0;0;3;4.4;5BA829;Very Good;1497;
18601532;Kafka;1;Jaipur;5th Floor, Krishna Enclave, Opposite Sawai Mansingh Stadium, Tonk Road, Jaipur;Tonk Road;Tonk Road, Jaipur;758.078.178.763;268.934.218.537;Continental, Thai, Italian, North Indian, Momos;1500;Indian Rupees(Rs.);0;0;0;0;3;4.1;5BA829;Very Good;756;
100149;Kanha;1;Jaipur;J 6, Himmat Nagar, Near Gopalpura Flyover, Tonk Road, Jaipur;Tonk Road;Tonk Road, Jaipur;757.966.588.810;268.646.047.151;North Indian, Street Food;500;Indian Rupees(Rs.);0;1;1;0;2;4.0;5BA829;Very Good;1475;
18709464;Love Over Coffee;1;Jaipur;S-7, Lakhanpuri, Opposite Clarion Bella Casa, Tonk Road, Jaipur;Tonk Road;Tonk Road, Jaipur;757.936.323.434;268.402.766.425;Cafe;450;Indian Rupees(Rs.);1;1;1;0;1;4.3;5BA829;Very Good;473;
18653959;Nazara;1;Jaipur;SB 154, 9th Floor, Ganga Heights, Tonk Road, Jaipur;Tonk Road;Tonk Road, Jaipur;758.036.034.554;268.882.568.351;Italian, Mexican, Chinese;800;Indian Rupees(Rs.);0;0;0;0;2;4.4;5BA829;Very Good;369;
102857;So Hi Kebabs & Curries Company;1;Jaipur;Jaipur Centre, B2 Bypass, Tonk Road, Jaipur;Tonk Road;Tonk Road, Jaipur;757.944.634.929;268.394.366.083;North Indian, Chinese;1200;Indian Rupees(Rs.);0;1;0;0;3;4.3;5BA829;Very Good;945;
18688513;Stardust;1;Jaipur;Terrace Floor, Signature Tower, Behind Apex Bank, Tonk Road, Jaipur;Tonk Road;Tonk Road, Jaipur;757.995.137.572;268.832.270.469;North Indian, Continental, Momos;1500;Indian Rupees(Rs.);0;0;0;0;3;4.3;5BA829;Very Good;713;
